site,replicate,sample_id,date,phylum,sub_phylum,class,order,family,subfamily,tribe,taxon,taxonomy,itis_code,voltinism,ffg,maturity,nd,count,pct_sampled,rep_num
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,NA,NA,Chironomidae,Chironomidae,127917,NA,NA,Pupa,ND,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsychidae,Hydropsychidae,115398,Unclassified,Collector-Filterer,Juvenile/Damaged,ND,7,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Ephemerellidae,NA,NA,Ephemerellidae,Ephemerellidae,101232,Unclassified,Collector-Gatherer,Juvenile/Damaged,NA,50,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,Leptophlebiidae,Leptophlebiidae,101095,Unclassified,Collector-Gatherer,Juvenile/Damaged,ND,28,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Heptageniidae,NA,NA,Heptageniidae,Heptageniidae,100504,Unclassified,Scraper,Juvenile/Damaged,NA,26,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Chloroperlidae,NA,NA,Chloroperlidae,Chloroperlidae,103202,Unclassified,Predator,Juvenile/Damaged,ND,1,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlodidae,NA,NA,Perlodidae,Perlodidae,102994,Unclassified,Predator,Juvenile/Damaged,ND,6,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Juvenile/Damaged,ND,9,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,Elmidae,Elmidae,114093,SV,Collector-Gatherer,Adult,ND,2,5,1
BUL-01,A,BUL-01-A,2025-10-03,Annelida,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,NA,NA,Lumbriculus,Lumbriculus,68441,NA,Collector-Gatherer,None,NA,12,5,1
BUL-01,A,BUL-01-A,2025-10-03,Annelida,Clitellata,Oligochaeta,Tubificida,Naididae,NA,NA,Nais,Nais,68946,NA,Collector-Gatherer,None,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Tvetenia,Tvetenia,129197,NA,Collector-Gatherer,Larvae,NA,47,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,Polypedilum,129657,NA,Collector-Gatherer,Larvae,NA,4,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Orthocladius complex,Orthocladius complex,128874A,NA,Collector-Gatherer,Larvae,NA,30,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesini,Diamesa,Diamesa,128355,NA,Collector-Gatherer,Larvae,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Sublettea,Sublettea,129975,NA,Collector-Filterer,Larvae,NA,8,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,Micropsectra,129890,NA,Collector-Gatherer,Larvae,NA,3,5,1
BUL-01,A,BUL-01-A,2025-10-03,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,Eukiefferiella,Eukiefferiella,128689,NA,Omnivore,Larvae,NA,5,5,1
