Site Code,Site Visit Date,Sample Number,Habitat Type,Parameter,Unit,Value
BUL-05,2025-09-28,1,Channel,Width-Bankfull,m,48.0
BUL-05,2025-09-28,1,Channel,Width-Wetted,m,6.0
BUL-05,2025-09-28,1,Channel,Depth-BankfullMinusWetted,cm,150
BUL-05,2025-09-28,1,Channel,Slope,m/m,0.002
BUL-05,2025-09-28,1,Channel,Velocity-Avg,m/s,0.54
BUL-05,2025-09-28,1,Channel,Reach-%CanopyCoverage,Percentage,1-25
BUL-05,2025-09-28,1,Channel,Macrophyte,Percentage,0
BUL-05,2025-09-28,1,Channel,Reach-Riffles,Binary,Y
BUL-05,2025-09-28,1,Channel,Reach-StraightRun,Binary,Y
BUL-05,2025-09-28,1,Channel,Veg-Shrubs,Binary,Y
BUL-05,2025-09-28,1,Channel,Veg-Deciduous,Binary,Y
BUL-05,2025-09-28,1,Channel,Veg-Coniferous,Binary,Y
BUL-05,2025-09-28,1,Channel,Reach-DomStreamsideVeg,Category,Deciduous Trees
BUL-04,2025-10-02,1,Channel,Width-Bankfull,m,110
BUL-04,2025-10-02,1,Channel,Width-Wetted,m,28
BUL-04,2025-10-02,1,Channel,Slope,m/m,0.0034
BUL-04,2025-10-02,1,Channel,Velocity-Avg,m/s,0.54
BUL-04,2025-10-02,1,Channel,Reach-%CanopyCoverage,Percentage,26-50
BUL-04,2025-10-02,1,Channel,Macrophyte,Percentage,76-100
BUL-04,2025-10-02,1,Channel,Reach-Riffles,Binary,Y
BUL-04,2025-10-02,1,Channel,Reach-Pools,Binary,Y
BUL-04,2025-10-02,1,Channel,Veg-GrassesFerns,Binary,Y
BUL-04,2025-10-02,1,Channel,Veg-Shrubs,Binary,Y
BUL-04,2025-10-02,1,Channel,Veg-Coniferous,Binary,Y
BUL-04,2025-10-02,1,Channel,Reach-DomStreamsideVeg,Category,Coniferous Trees
BUL-01,2025-10-03,1,Channel,Width-Bankfull,m,46
BUL-01,2025-10-03,1,Channel,Width-Wetted,m,14.4
BUL-01,2025-10-03,1,Channel,Slope,m/m,0.00105
BUL-01,2025-10-03,1,Channel,Velocity-Avg,m/s,0.32
BUL-01,2025-10-03,1,Channel,Reach-%CanopyCoverage,Percentage,0
BUL-01,2025-10-03,1,Channel,Macrophyte,Percentage,76-100
BUL-01,2025-10-03,1,Channel,Reach-Riffles,Binary,Y
BUL-01,2025-10-03,1,Channel,Reach-Pools,Binary,Y
