pebble,diameter_cm,embeddedness
1,10,0
2,9,0
3,10,0
4,6.5,0
5,3.5,0
6,7,0
7,4,0.25
8,5,0
9,8,0
10,5.5,0
11,5,
12,10,
13,7,
14,7,
15,5,
16,20,
17,12,
18,9,
19,7,
20,3,
21,17,
22,6,
23,2.5,
24,8.5,
25,12,
26,9,
27,6,
28,7,
29,11,
30,4.5,
31,3,
32,11,
33,9,
34,11,
35,7.5,
36,13,
37,5,
38,11,
39,7,
40,7.5,
41,10,
42,3,
43,14,
44,9.5,
45,4,
46,18,
47,9,
48,13,
49,10,
50,7,
51,9.5,
52,7,
53,10,
54,5,
55,4,
56,8,
57,10,
58,6,
59,5,
60,7,
61,3,
62,4,
63,6,
64,5,
65,9,
66,11,
67,13,
68,9,
69,7,
70,12,
71,10,
72,8,
73,4,
74,15,
75,10,
76,12,
77,17,
78,8,
79,10,
80,9,
81,10,
82,6,
83,5,
84,6,
85,6,
86,5,
87,4,
88,7,
89,5,
90,5,
91,10.5,
92,6,
93,7,
94,10,
95,8,
96,5,
97,9,
98,6,
99,9,
100,12,
