Site,SiteName,LocalBasinName,Latitude,Longitude,StreamOrder,AlternateSiteCode
BUL01,Little Joe Ck,Bulkley,54.857166666,-126.755972222,2,E256942
BUL01,Little Joe Ck,Bulkley,54.857219444,-126.756111111,2,E256942
BUL01,Little Joe Ck,Bulkley,54.857,-126.75635,2,E256942
BUL01,Little Joe Ck,Bulkley,54.85691,-126.75482,2,E256942
BUL01,Little Joe Ck,Bulkley,54.85695,-126.75474,2,E256942
BUL01,Little Joe Ck,Bulkley,54.8568,-126.75475,2,E256942
BUL01,Little Joe Ck,Bulkley,54.85696,-126.75477,2,E256942
BUL01,Little Joe Ck,Bulkley,54.856805,-126.754774,2,E256942
BUL01,Little Joe Ck,Bulkley,54.856938,-126.755878,2,E256942
BUL01,Little Joe Ck,Bulkley,54.856865,-126.75567,2,E256942
BUL03,Deep Ck d/s,Bulkley,54.591944444,-126.836388889,3,E245200
BUL07,Sinclair ck.,Bulkley,54.621666667,-127.508055556,3,E242664
BUL09,Arnett Ck.,Bulkley,54.589722222,-127.433611111,3,E245188
BUL09,Arnett Ck.,Bulkley,54.589444444,-127.433333333,3,E245188
BUL10,Jonas Creek,Bulkley,54.604444444,-127.416388889,3,E242644
BUL11,Howson Ck,Bulkley,54.606944444,-127.363888889,5,E242668
BUL13,Pine Ck,Bulkley,54.7375,-127.333333333,4,E242751
BUL15,Tenas,Skeena,54.654444444,-127.129166667,5,E242646
BUL16,Goathorn Ck,Skeena,54.655,-127.1275,5,E242647
BUL16,Goathorn Ck,Skeena,54.655011111,-127.127738889,5,E242647
BUL19,Chicken Ck.,Bulkley,54.793888889,-127.163888889,3,E242670
BUL19,Chicken Ck.,Bulkley,54.794166667,-127.164166667,3,E242670
BUL19,Chicken Ck.,Bulkley,54.379444444,-127.164166667,3,E242670
BUL20,Kathlyn,Bulkley,54.817777778,-127.221111111,3,E242669
BUL23,Caribou Ck.,Bulkley,54.782777778,-127.696111111,3,E245175
BUL23,Caribou Ck.,Bulkley,54.782777778,-127.695833333,3,E245175
BUL24,Driftwood Ref,Bulkley,54.854444444,-126.991388889,3,E245179
BUL24,Driftwood Ref,Bulkley,54.853333333,-126.991388889,3,E245179
BUL27,Reiseter above bridge,Bulkley,54.980277778,-127.110833333,2,E245187
BUL27,Reiseter above bridge,Bulkley,54.9809,-127.111430556,2,E245187
BUL28,Reiseter Trib West,Bulkley,54.933888889,-127.113333333,3,E242681
BUL29,Reiseter Trib. East,Bulkley,54.93366,-127.11297,4,E242682
BUL29,Reiseter Trib. East,Bulkley,54.933611111,-127.113333333,4,E242682
