Site Code,Sample Number,Site Visit Date,Sub Sample,Total Sample,Repetition,ITIS,Count,Note
BUL-01,1,2025-10-03,1,20,1,127917,4,ND; Pupa
BUL-01,1,2025-10-03,1,20,1,115398,7,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,101232,50,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,101095,28,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,100504,26,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,103202,1,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,102994,6,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,114093,9,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,114093,2,ND; Adult
BUL-01,1,2025-10-03,1,20,1,68441,12,NA
BUL-01,1,2025-10-03,1,20,1,68946,4,NA
BUL-01,1,2025-10-03,1,20,1,129197,47,Larvae
BUL-01,1,2025-10-03,1,20,1,129657,4,Larvae
BUL-01,1,2025-10-03,1,20,1,128874A,30,Larvae
BUL-01,1,2025-10-03,1,20,1,128355,3,Larvae
BUL-01,1,2025-10-03,1,20,1,129975,8,Larvae
BUL-01,1,2025-10-03,1,20,1,129890,3,Larvae
BUL-01,1,2025-10-03,1,20,1,128689,5,Larvae
BUL-01,1,2025-10-03,1,20,1,129018,4,Larvae
BUL-01,1,2025-10-03,1,20,1,115453,156,Larvae
BUL-01,1,2025-10-03,1,20,1,115408,41,Larvae
BUL-01,1,2025-10-03,1,20,1,115335,4,Larvae
BUL-01,1,2025-10-03,1,20,1,116794,13,Larvae
BUL-01,1,2025-10-03,1,20,1,117159,1,Larvae
BUL-01,1,2025-10-03,1,20,1,115641,1,Larvae
BUL-01,1,2025-10-03,1,20,1,101095A,3,Larvae
BUL-01,1,2025-10-03,1,20,1,100572,2,Larvae
BUL-01,1,2025-10-03,1,20,1,100800,2,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,103273,1,Larvae
BUL-01,1,2025-10-03,1,20,1,103260,4,Larvae
BUL-01,1,2025-10-03,1,20,1,102971,1,Larvae
BUL-01,1,2025-10-03,1,20,1,102471,2,Larvae
BUL-01,1,2025-10-03,1,20,1,102995,9,Larvae
BUL-01,1,2025-10-03,1,20,1,103124,1,Larvae
BUL-01,1,2025-10-03,1,20,1,114177,10,Larvae
BUL-01,1,2025-10-03,1,20,1,114177,1,Adult
BUL-01,1,2025-10-03,1,20,1,83006,2,Adult
BUL-01,1,2025-10-03,1,20,1,83034,1,Adult
BUL-01,1,2025-10-03,1,20,1,83254,1,Adult
BUL-01,1,2025-10-03,1,20,1,83282,3,Adult
BUL-01,1,2025-10-03,1,20,1,136327,1,Larvae
BUL-01,1,2025-10-03,1,20,1,126774,1,Larvae
BUL-01,1,2025-10-03,1,20,1,119656,1,Larvae
BUL-01,1,2025-10-03,1,20,1,NA,2,Larvae
BUL-01,1,2025-10-03,1,20,1,NA,1,NA
BUL-01,1,2025-10-03,1,20,1,115095,3,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,100502,2,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,102467,1,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,1,563956,1,NA
BUL-01,1,2025-10-03,1,20,2,127917,1,ND; Pupa
BUL-01,1,2025-10-03,1,20,2,115398,3,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,100755,2,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,101232,29,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,101095,18,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,100504,21,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,114093,6,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,68946,15,NA
BUL-01,1,2025-10-03,1,20,2,68441,17,NA
BUL-01,1,2025-10-03,1,20,2,129197,16,Larvae
BUL-01,1,2025-10-03,1,20,2,129535,3,Larvae
BUL-01,1,2025-10-03,1,20,2,129657,6,Larvae
BUL-01,1,2025-10-03,1,20,2,127917N,2,Larvae
BUL-01,1,2025-10-03,1,20,2,128874A,8,Larvae
BUL-01,1,2025-10-03,1,20,2,128355,1,Larvae
BUL-01,1,2025-10-03,1,20,2,129890,21,Larvae
BUL-01,1,2025-10-03,1,20,2,129975,9,Larvae
BUL-01,1,2025-10-03,1,20,2,115529,1,Larvae
BUL-01,1,2025-10-03,1,20,2,115453,52,Larvae
BUL-01,1,2025-10-03,1,20,2,115408,23,Larvae
BUL-01,1,2025-10-03,1,20,2,116794,5,Larvae
BUL-01,1,2025-10-03,1,20,2,117159,2,Larvae
BUL-01,1,2025-10-03,1,20,2,100800,1,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,568598,2,Larvae
BUL-01,1,2025-10-03,1,20,2,101233,3,Larvae
BUL-01,1,2025-10-03,1,20,2,101095A,20,Larvae
BUL-01,1,2025-10-03,1,20,2,100626,1,Larvae
BUL-01,1,2025-10-03,1,20,2,100572,12,Larvae
BUL-01,1,2025-10-03,1,20,2,103260,2,Larvae
BUL-01,1,2025-10-03,1,20,2,102471,1,Larvae
BUL-01,1,2025-10-03,1,20,2,83282,2,Adult
BUL-01,1,2025-10-03,1,20,2,83170,1,Adult
BUL-01,1,2025-10-03,1,20,2,83034,6,Adult
BUL-01,1,2025-10-03,1,20,2,83006,1,Adult
BUL-01,1,2025-10-03,1,20,2,114177,4,Larvae
BUL-01,1,2025-10-03,1,20,2,102995,9,Larvae
BUL-01,1,2025-10-03,1,20,2,115095,1,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,100502,2,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,82769,1,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,2,563956,1,NA
BUL-01,1,2025-10-03,1,20,3,115398,6,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,117120,3,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,101095,21,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,100504,18,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,101232,45,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,102994,1,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,102643,1,Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,114093,6,ND; Juvenile/Damaged
BUL-01,1,2025-10-03,1,20,3,76483,1,Juvenile/Damaged
