ems_id,monitoring_location,location_type,location_purpose,lat,lon,n_samples_catalogue,n_results_catalogue,first_sample,last_sample
E221544,HOUSTON FH,01,1,54.398,-126.64,144,144,1995-01-21,2022-06-01
0700001,WEST DUSTFALL CANISTER,01,2,54.375,-126.7133,9,18,1992-01-06,1992-11-01
0700003,EAST DUSTFALL CANISTER,01,2,54.375,-126.7133,9,18,1992-01-06,1992-11-01
0700000,SOUTH DUSTFALL CANISTER,01,2,54.375,-126.7133,7,14,1992-01-06,1992-09-01
0700002,NORTH DUSTFALL CANISTER,01,2,54.375,-126.7133,7,14,1992-01-06,1992-09-01
0450007,NORTHWOOD PA01543 NORTHEAST CANNISTER 2,01,2,54.3861,-126.7225,3,5,1992-02-19,1992-11-04
0450008,NORTHWOOD PA01543 SOUTHEAST CANNISTER 3,01,2,54.3861,-126.7228,3,5,1992-02-19,1992-11-04
0450009,NORTHWOOD PA01543 NORTHWEST CANNISTER 4,01,2,54.3858,-126.7225,3,5,1992-02-19,1992-11-04
0450016,NORTHWOOD PA01543 SOUTHWEST CANNISTER 1,01,2,54.3861,-126.7225,3,5,1992-02-19,1992-11-04
0700136,EQUITY SILVER PA04474 HI-VOL,01,2,54.1964,-126.2689,0,0,NA,NA
0450010,NORTHWOOD PA01543 NORTH CANNISTER 5,01,2,54.3861,-126.7228,0,0,NA,NA
0450230,NORTHWOOD PA01543 CANNISTER 1A,01,2,54.3861,-126.7225,0,0,NA,NA
0450231,NORTHWOOD PA01543 CANNISTER 2A,01,2,54.3861,-126.7225,0,0,NA,NA
M107004,HOUSTON FIREHALL,01,1,54.398289,-126.641604,0,0,NA,NA
E222064,LEACHATE MONITORING AT HOUSTON PELLET PLANT,05,2,54.3927,-126.7361,0,0,NA,NA
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,09,2,54.12127,-126.16326,147,7588,1990-01-15,2026-01-26
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,09,2,54.11585,-126.16313,45,3340,2016-05-30,2026-01-05
0400759,EQUITY SILVER PE04475 TAILINGS POND,09,3,54.2069,-126.2656,9,167,1980-09-10,1990-10-15
E228922,PR-08856 LEACHATE LAGOON 1996,09,5,54.4442,-126.5228,1,77,1997-10-30,1997-10-30
E228923,PR-08856 SEDIMENT POND #1 NEAR TP-4,09,5,54.443,-126.5247,1,77,1997-10-30,1997-10-30
E229017,PR-08856 LEACHATE LAGOON 1997,09,5,54.4442,-126.5225,1,77,1997-10-30,1997-10-30
E103808,EQUITY SILVER PE04475 TAILINGS DISCHARGE,09,3,54.2033,-126.2683,0,0,NA,NA
E216164,EQUITY CYANIDE SCAVENGER CIRCUIT DISCHARGE,09,2,54.2019,-126.2714,0,0,NA,NA
E216167,EQUITY MILL TAILINGS DISCHARGE,09,3,54.1977,-126.2797,0,0,NA,NA
E228924,PR-08856 SEDIMENT POND #2 NEAR TP-2,09,5,54.4439,-126.5303,0,0,NA,NA
E216168,EQUITY ACID MINE DRAINAGE SLUDGE,09,3,54.2003,-126.2708,0,0,NA,NA
E220237,EQUITY AMD SLUDGE TO MAIN ZONE PIT,09,3,54.2003,-126.2708,0,0,NA,NA
E275323,AIR COMPRESSOR WASTE WATER,09,3,54.3875,-126.5323,0,0,NA,NA
E306807,SAWFILING CYCLONE,09,3,54.38,-126.73,0,0,NA,NA
E306785,#1 PLANER MILL 15 FT CYCLONE,09,3,54.39,-126.728,0,0,NA,NA
E306786,PELLET PLANT DUST COLLECTION CYCLONE,09,3,54.386,-126.728,0,0,NA,NA
E306806,DUST EXTRACTION CYCLONE,09,3,54.386,-126.728,0,0,NA,NA
E306788,PELLET PLANT FURNISH CONVEYING CYCLONE,09,3,54.386,-126.728,0,0,NA,NA
E306808,#2 PLANER MILL 15` DIAMETER CYCLONE,09,3,54.39,-126.73,0,0,NA,NA
E249154,MR-8856 KNOCKHOLT LANDFILL LEACHATE LAGOON DISCHARGE,11,3,54.443188,-126.524479,0,0,NA,NA
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,13,2,54.1769,-126.3597,134,3274,1982-05-26,1991-08-07
E206292,BULKLEY LAKE AT DEEPEST POINT,13,1,54.3781,-126.1017,23,561,1985-06-10,1997-04-08
1130676,MCQUARRIE LAKE; DEEP STN,13,5,54.5756,-126.6719,12,305,1983-09-21,1983-09-21
E279349,ROSE LAKE,13,2,54.39907,-126.02047,5,293,2010-04-29,2010-04-29
1100282,MAXAN LAKE; AT CENTER,13,5,54.2997,-126.0861,34,178,1975-05-26,1975-05-26
1100281,MAXAN LAKE; AT N. END,13,5,54.3189,-126.1058,6,50,1974-09-30,1974-11-24
E279389,ROSE LAKE SOUTH SEDIMENT,13,2,54.39748,-126.02348,1,29,2010-04-29,2010-04-29
1131103,GOOSLY LAKE; CENTER,13,5,54.1769,-126.3583,1,25,1982-06-09,1982-06-09
1100283,MAXAN LAKE; AT OUTFALL,13,5,54.3197,-126.1147,2,24,1975-05-26,1975-05-26
1100284,MAXAN LAKE; S. END MAXAN LAKE,13,5,54.2769,-126.0797,2,24,1975-05-26,1975-05-26
1130657,HELEN LAKE; DEEP STATION,13,5,54.4922,-126.6911,0,0,NA,NA
1131095,SWANS LAKE; CENTER,13,5,54.4203,-126.3394,0,0,NA,NA
1131096,ELWIN LAKE; CENTER,13,5,54.4278,-126.2886,0,0,NA,NA
1132036,FERN LAKE; DEEP STN,13,5,54.4278,-126.2886,0,0,NA,NA
E223694,COPPERMINE LAKE @ DEEPHOLE (460-5177-361-01),13,1,54.565,-126.7215,0,0,NA,NA
E223696,NORTH LAKE @ DEEP HOLE,13,1,54.5675,-126.7119,0,0,NA,NA
1132035,ELWIN LAKE; DEEP STATION,13,1,54.4275,-126.2908,0,0,NA,NA
E208842,HOUSTON OLD LANDFILL SITE PR2687,15,3,54.379717,-126.64147,0,0,NA,NA
E208966,PEROW OLD LANDFILL,15,3,54.525306,-126.44427,0,0,NA,NA
E214117,MR-8856 KNOCKHOLT LANDFILL MUNICIPAL SOLID WASTE DISPOSAL,15,3,54.440622,-126.529372,0,0,NA,NA
E216770,NORTHWOOD PULP AND TIMBER SITE 1,15,3,54.3885,-126.7303,0,0,NA,NA
E208964, GRANISLE LANDFILL,15,3,54.540199,-126.14033,0,0,NA,NA
E208979,TOPLEY OLD LANDFILL,15,3,54.53095,-126.294878,0,0,NA,NA
E209126,EQUITY-REFUSE FR. MINE & MILL COMPLEX,15,3,54.1932,-126.2706,0,0,NA,NA
E233407,PLACER DOME (CLA) LTD PR-4476  EQUITY MINE LANDFILL,15,3,54.1883,-126.2775,0,0,NA,NA
E326971,Open Burning Air Contaminants,15,3,54.440622,-126.529372,0,0,NA,NA
E333190,Leachate 2687 RDBN Houston Landfill,15,3,54.379717,-126.64147,0,0,NA,NA
E328711,Leachate Discharge to surface water,15,3,54.442831,-126.526395,0,0,NA,NA
E328712,Landfill Discharge to Ground,15,3,54.440714,-126.528912,0,0,NA,NA
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,19,2,54.10468,-126.16326,146,7918,1982-11-01,2026-01-26
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,19,3,54.395,-126.67,1516,7233,1989-07-31,2014-06-19
E206601,EQUITY SILVER DIVERSION POND TO BESSEMER CK,19,3,54.2044,-126.2806,126,3530,1990-01-15,2025-07-02
E285382,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND DISCHARGE,19,3,54.11576,-126.1701,39,2850,2016-05-09,2025-06-02
E285350,GOLDCORP EQUITY MINE (PE04475) LU DIVERSION TO FOXY CK.,19,3,54.211333,-126.290667,5,390,2023-06-06,2025-10-27
E286215,MR-8856 KNOCKHOLT LANDFILL DISCHARGE FROM CONSTRUCTED WETLAND,19,3,54.442667,-126.52695,1,89,2012-06-05,2012-06-05
E216684,DISCHARGE TO EXFILTRATION LAGOON CELL NO. 3,19,5,54.395,-126.67,0,0,NA,NA
E227937,HOUSTON FOREST PRODUCTS COMPANY (PE-12380) OIL SEPARATOR DISCHARGE,19,3,54.3765,-126.7181,0,0,NA,NA
E285381,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND PUMP,19,3,54.1286,-126.1724,0,0,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,21,3,54.1619,-126.2922,1187,17016,1981-11-27,2026-02-17
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,21,1,54.1556,-126.3069,497,13132,1980-05-30,2026-01-26
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,21,2,54.1681,-126.3322,472,11562,1980-01-14,2026-01-26
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,21,2,54.2153,-126.24,488,8803,1980-06-13,2026-01-26
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,21,1,54.2117,-126.2878,369,7934,1980-06-13,2026-01-26
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,21,2,54.3967,-126.7092,106,3249,1974-07-10,2025-09-08
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,21,2,54.3936,-126.6725,450,2146,1974-07-10,2025-09-08
0700108,FOXY C UPSTREAM OF BRIDGE,21,2,54.3214,-126.1261,104,2036,1982-05-21,2025-10-16
0400297,BULKLEY RIVER U/S HOUSTON STP,21,1,54.4006,-126.6675,235,1945,1974-07-10,2025-09-08
E294170,WQ E1 (GOOSLY LAKE TRIB),21,2,54.167388,-126.351261,16,1531,2013-09-26,2015-10-22
E294171,WQ E2 (PARROT FSR),21,2,54.158524,-126.313944,15,1430,2013-09-26,2015-10-22
E294174,WQ E5 (ALLEN CR),21,2,54.1333,-126.157254,15,1425,2013-09-26,2015-10-22
E294173,WQ E4 (47.5 PARROT FSR),21,2,54.142522,-126.268519,15,1423,2013-09-26,2015-10-22
E294172,WQ E3 (GOOSLY N FSR),21,2,54.158409,-126.312419,13,1241,2013-09-26,2015-10-22
0400767,BUCK CREEK AT KLO BRIDGE SOUTH OF HOUSTON PE04475 EQUITY SILVER,21,1,54.18869,-126.50292,15,671,2018-07-11,2025-10-16
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),21,1,54.4026,-126.654,7,579,2017-01-03,2017-07-11
E307225,MCQUARRIE CREEK UPPER,21,1,54.556164,-126.579686,7,579,2017-01-03,2017-07-11
E307184,UBR NORTH ROAD,21,1,54.39864,-126.718,7,579,2017-01-03,2017-07-11
E307185,MCQUARRIE CREEK - LOWER,21,1,54.51389,-126.4636,7,579,2017-01-03,2017-07-11
E307186,UBR D/S BULKLEY LAKE,21,1,54.40307,-126.171,7,579,2017-01-03,2017-07-11
0400761,GETTY CREEK PE04475 EQUITY SILVER,21,2,54.1897,-126.2756,26,500,1980-05-30,1984-05-08
0400762,BESSEMER CREEK EQUITY MINE,21,2,54.1897,-126.2756,35,499,1981-04-28,1983-05-25
E207067,BUCK CREEK AT SECOND BRIDGE CROSSING,21,2,54.2625,-126.6337,8,309,1987-07-16,1987-10-19
E207066,BUCK CREEK AT HOUSTON,21,2,54.3975,-126.6516,8,297,1987-07-16,1987-10-19
E207068,MAXAN CREEK AT CONFLUENCE WITH BULKLEY LAKE,21,2,54.381100000000004,-126.1269,8,296,1987-07-30,1987-10-20
E238623,BOB CREEK @ 12 KM,21,1,54.30685,-126.63222,7,285,1999-08-23,2009-09-01
0400201,BULKLEY R CONTROL AT HOUSTON EAST BRIDGE,21,2,54.4044,-126.6389,14,254,1972-09-11,1976-07-05
E238639,BYMAN CREEK - REF,21,1,54.5666,-126.5166,5,199,1999-08-23,2004-08-31
E238566,UPPER AILPORT CREEK U/S,21,1,54.4844,-126.1292,9,186,1999-08-11,2004-09-09
E238628,MCQUARRIE CREEK REF,21,1,54.55,-126.6,5,180,1999-08-23,2018-08-14
E257277,MR-8856 BULKLEY RIVER DOWNSTREAM OF KNOCKHOLT LANDFILL,21,2,54.444,-126.5595,2,175,2004-10-13,2006-11-19
E257276,MR-8856 BULKLEY RIVER UPSTREAM OF KNOCKHOLT LANDFILL,21,2,54.4617,-126.5203,2,174,2004-10-13,2006-11-19
E238645,RICHFIELD CREEK @ CN CROSSING,21,1,54.5,-126.35,3,162,1999-08-23,1999-08-23
E238636,FOXY CREEK,21,1,54.3166,-126.1333,3,156,1999-08-23,1999-08-23
E238632,RICHFIELD CREEK U/S,21,1,54.55,-126.3166,5,149,1999-08-23,2004-08-31
E238638,CROW CREEK,21,1,54.3666,-126.2,3,136,1999-08-23,1999-08-23
E238635,CESFORD CREEK D/S,21,1,54.5,-126.3333,3,129,1999-08-23,1999-08-23
E236748,UPPER AILPORT CREEK D/S,21,1,54.4853,-126.1283,12,121,1999-08-11,2000-08-03
E238622,BUCK CREEK @ 12 KM,21,1,54.2833,-126.65,4,116,1999-08-23,2004-09-08
E238640,AILPORT CREEK,21,1,54.4666,-126.25,3,112,1999-08-23,1999-08-23
E238643,BULKLEY RIVER @ KNOCKHOLT,21,1,54.4333,-126.5833,3,109,1999-08-23,1999-08-23
E238642,BESSEMER CREEK,21,1,54.15,-126.3166,3,98,1999-08-23,1999-08-23
E238633,CESFORD CREEK - REF,21,1,54.5333,-126.2833,3,95,1999-08-23,1999-08-23
E238634,CESFORD CREEK U/S,21,1,54.5166,-126.3166,3,89,1999-08-23,1999-08-23
E238630,JOHNNY DAVID CREEK,21,1,54.5166,-126.4,3,88,1999-08-23,1999-08-23
E235011,PEROW CREEK SOUTH OF PEROW LANDFILL PR03782,21,2,54.5232,-126.4468,2,86,1998-11-30,1998-11-30
