ems_id,monitoring_location,date,year,month,parameter,result,unit,method_detection_limit,result_letter
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,1991-05-27,1991,5,pH,7.2,pH units,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1993-02-22,1993,2,pH,7.55,pH units,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1990-10-29,1990,10,pH,7.4,pH units,NA,NA
1100281,MAXAN LAKE; AT N. END,1974-09-30,1974,9,Specific Conductance,71,uS/cm,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1987-08-17,1987,8,Residue: Non-filterable (TSS),1,mg/L,NA,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-05-14,1985,5,Residue: Non-filterable (TSS),57,mg/L,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1989-08-14,1989,8,Turbidity,1,NTU,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1990-02-19,1990,2,pH,7.2,pH units,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1982-08-10,1982,8,Residue: Non-filterable (TSS),10,mg/L,NA,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-07-25,1984,7,Specific Conductance,154,uS/cm,NA,NA
0700164,GOLDCORP EQUITY SILVER MINE (PE04475) PIEZOMETER RH-82-03,1983-05-25,1983,5,Specific Conductance,360,uS/cm,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1984-04-09,1984,4,Specific Conductance,530,uS/cm,NA,NA
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1984-05-08,1984,5,Specific Conductance,244,uS/cm,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1984-05-08,1984,5,pH,7.2,pH units,NA,NA
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,1982-06-15,1982,6,pH,7.08,pH units,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1982-12-29,1982,12,pH,7.71,pH units,NA,NA
0400760,EQUITY SILVER PE04475 SEEPAGE NO. 1 DAM,1981-03-31,1981,3,pH,7,pH units,NA,NA
0400760,EQUITY SILVER PE04475 SEEPAGE NO. 1 DAM,1981-04-28,1981,4,pH,3.1,pH units,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1992-10-26,1992,10,pH,7.4,pH units,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1986-02-17,1986,2,Residue: Non-filterable (TSS),2,mg/L,NA,NA
0400297,BULKLEY RIVER U/S HOUSTON STP,1987-08-23,1987,8,Specific Conductance,145,uS/cm,NA,NA
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,1987-08-17,1987,8,pH,7.6,pH units,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1990-01-15,1990,1,Residue: Non-filterable (TSS),3.3,mg/L,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1987-04-20,1987,4,pH,7.1,pH units,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1987-09-14,1987,9,Residue: Non-filterable (TSS),1,mg/L,NA,NA
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1987-06-15,1987,6,pH,7.5,pH units,NA,NA
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,1988-11-14,1988,11,pH,7.5,pH units,NA,NA
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-04-23,1985,4,Specific Conductance,136,uS/cm,NA,NA
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1993-10-25,1993,10,pH,7.35,pH units,NA,NA
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,1996-01-29,1996,1,pH,7.47,pH units,NA,NA
