ems_id,monitoring_location,date,year,month,parameter,param_abb,result,unit,method_detection_limit,result_letter,below_detect,latitude,longitude
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1987-09-08,1987,9,Phosphorus Total Dissolved,tdp,0.015,mg/L,NA,NA,FALSE,54.3936,-126.6725
0400297,BULKLEY RIVER U/S HOUSTON STP,1995-02-09,1995,2,Nitrogen Kjel.Tot(N),tkn,0.15,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-03-05,1984,3,Phosphorus Total Dissolved,tdp,0.051,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-07-03,1984,7,Phosphorus Total Dissolved,tdp,0.024,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-08-29,1984,8,Phosphorus Total Dissolved,tdp,0.019,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-07-14,1987,7,Nitrogen Kjel.Tot(N),tkn,0.22,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-07-14,1987,7,Phosphorus Ort.Dis-P,srp,0.021,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1986-11-12,1986,11,Phosphorus Ort.Dis-P,srp,0.03,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400297,BULKLEY RIVER U/S HOUSTON STP,1991-07-31,1991,7,Nitrogen Ammonia Dissolved,nh3,0.007,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,1988-01-18,1988,1,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.14,mg/L,NA,NA,FALSE,54.1681,-126.3322
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-09-08,1987,9,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3967,-126.7092
0400297,BULKLEY RIVER U/S HOUSTON STP,1986-09-04,1986,9,Phosphorus Total Dissolved,tdp,0.013,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1985-07-09,1985,7,Phosphorus Total Dissolved,tdp,0.019,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400297,BULKLEY RIVER U/S HOUSTON STP,1992-08-10,1992,8,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.4006,-126.6675
0400297,BULKLEY RIVER U/S HOUSTON STP,1995-02-09,1995,2,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.4006,-126.6675
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2024-07-30,2024,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.12127,-126.16326
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1983-08-10,1983,8,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.1556,-126.3069
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-01-10,1984,1,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.1,mg/L,NA,NA,FALSE,54.3967,-126.7092
0700147,EQUITY EAST PIEZOMETER BELOW SEEPAGE POND,1983-02-08,1983,2,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.2122,-126.2583
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1983-09-06,1983,9,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,19.7,mg/L,NA,NA,FALSE,54.1619,-126.2922
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1987-03-26,1987,3,Nitrogen Kjel.Tot(N),tkn,0.29,mg/L,NA,NA,FALSE,54.3967,-126.7092
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1986-07-16,1986,7,Nitrogen Kjel.Tot(N),tkn,0.32,mg/L,NA,NA,FALSE,54.1769,-126.3597
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1986-09-30,1986,9,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.12,mg/L,NA,NA,FALSE,54.1769,-126.3597
0700108,FOXY C UPSTREAM OF BRIDGE,1987-10-20,1987,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3214,-126.1261
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1992-02-11,1992,2,Phosphorus Total Dissolved,tdp,0.05,mg/L,NA,NA,FALSE,54.1619,-126.2922
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1997-08-15,1997,8,Phosphorus Total,tp,0.6,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1995-02-09,1995,2,Nitrogen Ammonia Dissolved,nh3,17.8,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-07-03,1996,7,Phosphorus Ort.Dis-P,srp,0.6,mg/L,NA,NA,FALSE,54.395,-126.67
E207066,BUCK CREEK AT HOUSTON,1987-07-16,1987,7,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.3975,-126.6516
E228337,KLO CREEK,1997-09-22,1997,9,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.002,mg/L,NA,<,TRUE,54.2067,-126.4217
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-10-29,1998,10,Phosphorus Ort.Dis-P,srp,0.7,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-10-22,1998,10,Phosphorus Ort.Dis-P,srp,0.6,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-08-28,1998,8,Phosphorus Ort.Dis-P,srp,0.43,mg/L,NA,NA,FALSE,54.395,-126.67
0400297,BULKLEY RIVER U/S HOUSTON STP,1999-05-18,1999,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.018,mg/L,NA,NA,FALSE,54.4006,-126.6675
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-09-30,1999,9,Phosphorus Ort.Dis-P,srp,0.47,mg/L,NA,NA,FALSE,54.395,-126.67
E228921,MR-8856 KNOCKHOLT LANDFILL WELL BH-4,2000-11-21,2000,11,Phosphorus Total,tp,2,mg/L,0.1,NA,FALSE,54.4419,-126.525
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,2000-11-15,2000,11,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.013,mg/L,NA,NA,FALSE,54.3936,-126.6725
E228918,MR-8856 KNOCKHOLT LANDFILL WELL BH-2A,2000-11-21,2000,11,Phosphorus Total,tp,8.2,mg/L,0.1,NA,FALSE,54.440311,-126.526111
E228917,MR-8856 KNOCKHOLT LANDFILL WELL BH-1,2004-10-13,2004,10,Phosphorus Total Dissolved,tdp,0.1,mg/L,0.1,<,TRUE,54.4389,-126.5272
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2016-05-30,2016,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
E294170,WQ E1 (GOOSLY LAKE TRIB),2015-10-22,2015,10,Nitrate (NO3) Dissolved,no3,0.002,mg/L,0.002,<,TRUE,54.167388,-126.351261
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),2017-07-11,2017,7,Phosphorus Total Dissolved,tdp,0.0203,mg/L,0.002,NA,FALSE,54.4026,-126.654
E294173,WQ E4 (47.5 PARROT FSR),2015-10-22,2015,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.0064,mg/L,0.002,NA,FALSE,54.142522,-126.268519
E307186,UBR D/S BULKLEY LAKE,2017-01-03,2017,1,Phosphorus Total,tp,0.0442,mg/L,0.002,NA,FALSE,54.40307,-126.171
E307185,MCQUARRIE CREEK - LOWER,2017-04-05,2017,4,Nitrate (NO3) Dissolved,no3,0.125,mg/L,0.005,NA,FALSE,54.51389,-126.4636
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2017-09-18,2017,9,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2018-04-30,2018,4,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,2019-05-27,2019,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.2117,-126.2878
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2019-05-13,2019,5,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2020-12-14,2020,12,Phosphorus Total Dissolved,tdp,1,mg/L,1,<,TRUE,54.10468,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2022-10-31,2022,10,Phosphorus Total,tp,0.05,mg/L,0.05,<,TRUE,54.12127,-126.16326
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2022-06-27,2022,6,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2023-06-26,2023,6,Phosphorus Total Dissolved,tdp,1,mg/L,1,<,TRUE,54.10468,-126.16326
1130676,MCQUARRIE LAKE; DEEP STN,1983-09-21,1983,9,Nitrogen Ammonia Dissolved,nh3,0.005,mg/L,NA,<,TRUE,54.5756,-126.6719
1130676,MCQUARRIE LAKE; DEEP STN,1983-09-21,1983,9,Phosphorus Total,tp,12600,ug/g,NA,NA,FALSE,54.5756,-126.6719
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1988-04-26,1988,4,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,1.6,mg/L,NA,NA,FALSE,54.1619,-126.2922
E206292,BULKLEY LAKE AT DEEPEST POINT,1987-09-23,1987,9,Nitrogen - Nitrite Dissolved (NO2),no2,0.005,mg/L,NA,<,TRUE,54.3781,-126.1017
E207066,BUCK CREEK AT HOUSTON,1987-07-16,1987,7,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.3975,-126.6516
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,1986-06-30,1986,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.02,mg/L,NA,<,TRUE,54.1556,-126.3069
E228917,MR-8856 KNOCKHOLT LANDFILL WELL BH-1,1997-10-30,1997,10,Phosphorus Total,tp,8,mg/L,NA,NA,FALSE,54.4389,-126.5272
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1997-09-03,1997,9,Phosphorus Ort.Dis-P,srp,0.7,mg/L,NA,NA,FALSE,54.395,-126.67
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1996-04-16,1996,4,Nitrogen Ammonia Dissolved,nh3,0.009,mg/L,NA,NA,FALSE,54.3936,-126.6725
0400297,BULKLEY RIVER U/S HOUSTON STP,1996-05-13,1996,5,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.013,mg/L,NA,NA,FALSE,54.4006,-126.6675
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1996-02-13,1996,2,Phosphorus Ort.Dis-P,srp,0.017,mg/L,NA,NA,FALSE,54.3936,-126.6725
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1998-01-13,1998,1,Nitrogen Ammonia Dissolved,nh3,0.122,mg/L,0.005,NA,FALSE,54.3936,-126.6725
E235012,VANNER BYMAN WELL,1998-11-30,1998,11,Phosphorus Ort.Dis-P,srp,0.05,mg/L,NA,<,TRUE,54.5169,-126.4437
E228919,MR-8856 KNOCKHOLT LANDFILL WELL BH-2B,2000-11-21,2000,11,Phosphorus Ort.Dis-P,srp,0.05,mg/L,0.05,<,TRUE,54.440311,-126.526111
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),2017-04-05,2017,4,Phosphorus Total Dissolved,tdp,0.0351,mg/L,0.002,NA,FALSE,54.4026,-126.654
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2017-07-31,2017,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2018-07-09,2018,7,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,2019-05-27,2019,5,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.1681,-126.3322
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2020-11-30,2020,11,Phosphorus Total Dissolved,tdp,1,mg/L,1,<,TRUE,54.10468,-126.16326
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,2021-04-26,2021,4,Phosphorus Total,tp,0.3,mg/L,0.3,<,TRUE,54.12127,-126.16326
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,2021-06-07,2021,6,Phosphorus Total,tp,0.05,mg/L,0.05,<,TRUE,54.1619,-126.2922
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2021-06-28,2021,6,Phosphorus Total Dissolved,tdp,1.5,mg/L,1.5,<,TRUE,54.11585,-126.16313
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,2021-10-04,2021,10,Phosphorus Total,tp,0.1,mg/L,0.1,<,TRUE,54.1619,-126.2922
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2022-08-31,2022,8,Phosphorus Total Dissolved,tdp,0.05,mg/L,0.05,<,TRUE,54.1556,-126.3069
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,2022-08-31,2022,8,Phosphorus Total,tp,0.0302,mg/L,0.002,NA,FALSE,54.1556,-126.3069
E206601,EQUITY SILVER DIVERSION POND TO BESSEMER CK,2022-07-18,2022,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.2044,-126.2806
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,2023-07-31,2023,7,Phosphorus Total Dissolved,tdp,0.3,mg/L,0.3,<,TRUE,54.2153,-126.24
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,2023-10-30,2023,10,Phosphorus Total Dissolved,tdp,1,mg/L,1,<,TRUE,54.10468,-126.16326
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1984-02-06,1984,2,Nitrogen Kjel.Tot(N),tkn,0.39,mg/L,NA,NA,FALSE,54.3967,-126.7092
0400761,GETTY CREEK PE04475 EQUITY SILVER,1983-02-08,1983,2,Nitrogen Ammonia Dissolved,nh3,1.28,mg/L,NA,NA,FALSE,54.1897,-126.2756
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,1974-07-10,1974,7,Phosphorus Total,tp,0.047,mg/L,NA,NA,FALSE,54.3967,-126.7092
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1984-05-16,1984,5,Phosphorus Total,tp,0.024,mg/L,NA,NA,FALSE,54.1769,-126.3597
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,1991-05-28,1991,5,Phosphorus Ort.Dis-P,srp,0.003,mg/L,NA,<,TRUE,54.1769,-126.3597
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,1987-06-02,1987,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.71,mg/L,NA,NA,FALSE,54.1619,-126.2922
E228917,MR-8856 KNOCKHOLT LANDFILL WELL BH-1,1997-10-30,1997,10,Nitrate (NO3) Dissolved,no3,0.106,mg/L,NA,NA,FALSE,54.4389,-126.5272
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1996-06-12,1996,6,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.63,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1997-10-15,1997,10,Nitrate(NO3) + Nitrite(NO2) Dissolved,no3no2,0.48,mg/L,NA,NA,FALSE,54.395,-126.67
0400297,BULKLEY RIVER U/S HOUSTON STP,1996-02-13,1996,2,Phosphorus Ort.Dis-P,srp,0.017,mg/L,NA,NA,FALSE,54.4006,-126.6675
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1998-09-17,1998,9,Phosphorus Ort.Dis-P,srp,0.4,mg/L,NA,NA,FALSE,54.395,-126.67
E235013,TIM BYMAN WELL,1998-11-30,1998,11,Phosphorus Total,tp,0.1,mg/L,NA,<,TRUE,54.5205,-126.4437
E235013,TIM BYMAN WELL,1998-11-30,1998,11,Phosphorus Ort.Dis-P,srp,0.05,mg/L,NA,<,TRUE,54.5205,-126.4437
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1999-07-14,1999,7,Nitrate (NO3) Dissolved,no3,0.012,mg/L,NA,<,TRUE,54.3936,-126.6725
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-05-18,1999,5,Nitrate (NO3) Dissolved,no3,0.879,mg/L,NA,NA,FALSE,54.395,-126.67
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,1999-08-25,1999,8,Phosphorus Ort.Dis-P,srp,5,mg/L,NA,NA,FALSE,54.395,-126.67
