ems_id,monitoring_location,n_records,min_date,max_date,n_params,n_dates,location_type,lat,lon
E221544,HOUSTON FH,144,1995-01-21,2022-06-01,2,80,01,54.398,-126.64
0700001,WEST DUSTFALL CANISTER,18,1992-01-06,1992-11-01,2,9,01,54.375,-126.7133
0700003,EAST DUSTFALL CANISTER,18,1992-01-06,1992-11-01,2,9,01,54.375,-126.7133
0700000,SOUTH DUSTFALL CANISTER,14,1992-01-06,1992-09-01,2,7,01,54.375,-126.7133
0700002,NORTH DUSTFALL CANISTER,14,1992-01-06,1992-09-01,2,7,01,54.375,-126.7133
0450007,NORTHWOOD PA01543 NORTHEAST CANNISTER 2,5,1992-02-19,1992-11-04,2,3,01,54.3861,-126.7225
0450008,NORTHWOOD PA01543 SOUTHEAST CANNISTER 3,5,1992-02-19,1992-11-04,2,3,01,54.3861,-126.7228
0450009,NORTHWOOD PA01543 NORTHWEST CANNISTER 4,5,1992-02-19,1992-11-04,2,3,01,54.3858,-126.7225
0450016,NORTHWOOD PA01543 SOUTHWEST CANNISTER 1,5,1992-02-19,1992-11-04,2,3,01,54.3861,-126.7225
E216165,GOLDCORP EQUITY MINE (PE04475) TAILINGS POND SUPERNATANT,6598,1990-01-15,2024-12-16,102,135,09,54.12127,-126.16326
E285576,GOLDCORP EQUITY SILVER (PE04475) HDS PLANT CLARIFIER OVERFLOW,2780,2016-05-30,2024-12-19,95,37,09,54.11585,-126.16313
0400759,EQUITY SILVER PE04475 TAILINGS POND,167,1980-09-10,1990-10-15,42,9,09,54.2069,-126.2656
E228922,PR-08856 LEACHATE LAGOON 1996,77,1997-10-30,1997-10-30,73,1,09,54.4442,-126.5228
E228923,PR-08856 SEDIMENT POND #1 NEAR TP-4,77,1997-10-30,1997-10-30,73,1,09,54.443,-126.5247
E229017,PR-08856 LEACHATE LAGOON 1997,77,1997-10-30,1997-10-30,73,1,09,54.4442,-126.5225
0700084,GOOSLY LAKE PE04475 EQUITY SILVER,3274,1982-05-26,1991-08-07,100,31,13,54.1769,-126.3597
E206292,BULKLEY LAKE AT DEEPEST POINT,561,1985-06-10,1997-04-08,57,9,13,54.3781,-126.1017
1130676,MCQUARRIE LAKE; DEEP STN,305,1983-09-21,1983-09-21,39,1,13,54.5756,-126.6719
E279349,ROSE LAKE,293,2010-04-29,2010-04-29,89,1,13,54.39907,-126.02047
1100282,MAXAN LAKE; AT CENTER,178,1975-05-26,1975-05-26,24,1,13,54.2997,-126.0861
1100281,MAXAN LAKE; AT N. END,50,1974-09-30,1974-11-24,28,2,13,54.3189,-126.1058
E279389,ROSE LAKE SOUTH SEDIMENT,29,2010-04-29,2010-04-29,29,1,13,54.39748,-126.02348
1131103,GOOSLY LAKE; CENTER,25,1982-06-09,1982-06-09,25,1,13,54.1769,-126.3583
1100283,MAXAN LAKE; AT OUTFALL,24,1975-05-26,1975-05-26,23,1,13,54.3197,-126.1147
1100284,MAXAN LAKE; S. END MAXAN LAKE,24,1975-05-26,1975-05-26,23,1,13,54.2769,-126.0797
E103798,HOUSTON SEWAGE PE00287 TO BULKLEY RIVER,7233,1989-07-31,2014-06-19,103,1452,19,54.395,-126.67
0700146,GOLDCORP EQUITY MINE (PE04475) SOUTHERN TAIL PIT WATER,6894,1982-11-01,2024-12-16,108,130,19,54.10468,-126.16326
E206601,EQUITY SILVER DIVERSION POND TO BESSEMER CK,2899,1990-01-15,2024-06-04,89,118,19,54.2044,-126.2806
E285382,GOLDCORP EQUITY MINE (PE-04475) EMERGENCY POND DISCHARGE,2616,2016-05-09,2024-05-21,89,36,19,54.11576,-126.1701
E285350,GOLDCORP EQUITY MINE (PE04475) LU DIVERSION TO FOXY CK.,234,2023-06-06,2024-11-18,78,3,19,54.211333,-126.290667
E286215,MR-8856 KNOCKHOLT LANDFILL DISCHARGE FROM CONSTRUCTED WETLAND,89,2012-06-05,2012-06-05,89,1,19,54.442667,-126.52695
0700081,BESSEMER CREEK SILT CHECK DAM EQUITY SILVER MINE,16172,1981-11-27,2024-12-31,117,1086,21,54.1619,-126.2922
0400765,BUCK CK ABOVE BESSEMER PE04475 EQUITY SILVER,12392,1980-05-30,2024-12-16,115,456,21,54.1556,-126.3069
0400766,BUCK CK AT GOOSLY LK PE04475 EQUITY SILVER,10822,1980-01-14,2024-12-16,112,438,21,54.1681,-126.3322
0400764,LOWER FOXY CREEK - DOWNSTREAM OF EQUITY MINESITE,8245,1980-06-13,2024-12-16,108,455,21,54.2153,-126.24
0400763,UPPER FOXY CREEK - UPSTREAM OF EQUITY MINESITE,7376,1980-06-13,2024-12-16,116,340,21,54.2117,-126.2878
0400296,BULKLEY RIVER DOWSTREAM PE00287 HOUSTON SEWAGE,2947,1974-07-10,2018-08-13,102,63,21,54.3967,-126.7092
0700108,FOXY C UPSTREAM OF BRIDGE,1839,1982-05-21,2024-10-09,100,97,21,54.3214,-126.1261
0400295,BULKLEY R. D/S OF HOUSTON STP OUTFALL,1757,1974-07-10,2012-10-02,108,329,21,54.3936,-126.6725
0400297,BULKLEY RIVER U/S HOUSTON STP,1645,1974-07-10,2012-10-02,113,110,21,54.4006,-126.6675
E294170,WQ E1 (GOOSLY LAKE TRIB),1531,2013-09-26,2015-10-22,98,13,21,54.167388,-126.351261
E294171,WQ E2 (PARROT FSR),1430,2013-09-26,2015-10-22,98,13,21,54.158524,-126.313944
E294174,WQ E5 (ALLEN CR),1425,2013-09-26,2015-10-22,98,12,21,54.1333,-126.157254
E294173,WQ E4 (47.5 PARROT FSR),1423,2013-09-26,2015-10-22,98,12,21,54.142522,-126.268519
E294172,WQ E3 (GOOSLY N FSR),1241,2013-09-26,2015-10-22,98,12,21,54.158409,-126.312419
0400767,BUCK CREEK AT KLO BRIDGE SOUTH OF HOUSTON PE04475 EQUITY SILVER,581,2018-07-11,2024-10-09,90,13,21,54.18869,-126.50292
E219804,BUCK CREEK D/S HIGHWAY 16 (U/S HOUSTON STP),579,2017-01-03,2017-07-11,86,7,21,54.4026,-126.654
E307184,UBR NORTH ROAD,579,2017-01-03,2017-07-11,86,7,21,54.39864,-126.718
E307185,MCQUARRIE CREEK - LOWER,579,2017-01-03,2017-07-11,86,7,21,54.51389,-126.4636
E307186,UBR D/S BULKLEY LAKE,579,2017-01-03,2017-07-11,86,7,21,54.40307,-126.171
E307225,MCQUARRIE CREEK UPPER,579,2017-01-03,2017-07-11,86,7,21,54.556164,-126.579686
0400761,GETTY CREEK PE04475 EQUITY SILVER,499,1980-05-30,1984-05-08,46,26,21,54.1897,-126.2756
0400762,BESSEMER CREEK EQUITY MINE,499,1981-04-28,1983-05-25,49,32,21,54.1897,-126.2756
E207067,BUCK CREEK AT SECOND BRIDGE CROSSING,309,1987-07-16,1987-10-19,40,4,21,54.2625,-126.6337
E207066,BUCK CREEK AT HOUSTON,297,1987-07-16,1987-10-19,40,5,21,54.3975,-126.6516
E207068,MAXAN CREEK AT CONFLUENCE WITH BULKLEY LAKE,296,1987-07-30,1987-10-20,40,4,21,54.381100000000004,-126.1269
E238623,BOB CREEK @ 12 KM,285,1999-08-23,2009-09-01,61,3,21,54.30685,-126.63222
0400201,BULKLEY R CONTROL AT HOUSTON EAST BRIDGE,254,1972-09-11,1976-07-05,55,8,21,54.4044,-126.6389
E238639,BYMAN CREEK - REF,199,1999-08-23,2004-08-31,51,2,21,54.5666,-126.5166
E238566,UPPER AILPORT CREEK U/S,186,1999-08-11,2004-09-10,51,3,21,54.4844,-126.1292
E238628,MCQUARRIE CREEK REF,180,1999-08-23,2018-08-14,66,3,21,54.55,-126.6
E257277,MR-8856 BULKLEY RIVER DOWNSTREAM OF KNOCKHOLT LANDFILL,175,2004-10-14,2006-11-19,91,2,21,54.444,-126.5595
E257276,MR-8856 BULKLEY RIVER UPSTREAM OF KNOCKHOLT LANDFILL,174,2004-10-14,2006-11-19,91,2,21,54.4617,-126.5203
E238645,RICHFIELD CREEK @ CN CROSSING,162,1999-08-23,1999-08-23,1,1,21,54.5,-126.35
E238636,FOXY CREEK,156,1999-08-23,1999-08-23,1,1,21,54.3166,-126.1333
E238632,RICHFIELD CREEK U/S,149,1999-08-23,2004-09-01,51,3,21,54.55,-126.3166
E238638,CROW CREEK,136,1999-08-23,1999-08-23,1,1,21,54.3666,-126.2
E238635,CESFORD CREEK D/S,129,1999-08-23,1999-08-23,1,1,21,54.5,-126.3333
E236748,UPPER AILPORT CREEK D/S,121,1999-08-11,2000-08-03,9,2,21,54.4853,-126.1283
E238622,BUCK CREEK @ 12 KM,116,1999-08-23,2004-09-09,51,2,21,54.2833,-126.65
E238640,AILPORT CREEK,112,1999-08-23,1999-08-23,1,1,21,54.4666,-126.25
