site,replicate,sample,date,metric,value,is_pct,category
BUL 01,A,BUL 01 A,3-Oct-25,Species Richness,38,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Species Richness,31,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Species Richness,42,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Species Richness,40,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Species Richness,36,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,Species Richness,37,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,Species Richness,46,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,Species Richness,50,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,Species Richness,39,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,EPT Richness,17,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,EPT Richness,15,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,EPT Richness,18,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,EPT Richness,16,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,EPT Richness,18,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,EPT Richness,18,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,EPT Richness,24,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,EPT Richness,25,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,EPT Richness,23,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,Ephemeroptera Richness,5,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Ephemeroptera Richness,7,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Ephemeroptera Richness,7,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Ephemeroptera Richness,4,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Ephemeroptera Richness,8,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,Ephemeroptera Richness,7,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,Ephemeroptera Richness,6,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,Ephemeroptera Richness,8,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,Ephemeroptera Richness,7,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,Plecoptera Richness,6,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Plecoptera Richness,3,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Plecoptera Richness,6,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Plecoptera Richness,7,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Plecoptera Richness,6,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,Plecoptera Richness,6,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,Plecoptera Richness,10,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,Plecoptera Richness,9,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,Plecoptera Richness,9,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,Trichoptera Richness,6,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Trichoptera Richness,5,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Trichoptera Richness,5,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Trichoptera Richness,5,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Trichoptera Richness,4,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,Trichoptera Richness,5,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,Trichoptera Richness,8,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,Trichoptera Richness,8,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,Trichoptera Richness,7,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,Chironomidae Richness,8,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Chironomidae Richness,8,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Chironomidae Richness,10,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Chironomidae Richness,11,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Chironomidae Richness,7,FALSE,Richness
BUL 04,C,BUL 04 C,2-Oct-25,Chironomidae Richness,8,FALSE,Richness
BUL 05,A,BUL 05 A,28-Sep-25,Chironomidae Richness,6,FALSE,Richness
BUL 05,B,BUL 05 B,2-Oct-25,Chironomidae Richness,7,FALSE,Richness
BUL 05,C,BUL 05 C,2-Oct-25,Chironomidae Richness,2,FALSE,Richness
BUL 01,A,BUL 01 A,3-Oct-25,Oligochaeta Richness,2,FALSE,Richness
BUL 01,B,BUL 01 B,3-Oct-25,Oligochaeta Richness,2,FALSE,Richness
BUL 01,C,BUL 01 C,3-Oct-25,Oligochaeta Richness,2,FALSE,Richness
BUL 04,A,BUL 04 A,2-Oct-25,Oligochaeta Richness,1,FALSE,Richness
BUL 04,B,BUL 04 B,2-Oct-25,Oligochaeta Richness,1,FALSE,Richness
