taxonomy,resolved_name,tolerance,source
Ameletus,Ameletus,0,Barbour NW (resolved)
Antocha,Antocha,3,Barbour NW (resolved)
Arctopsyche,Arctopsyche,1,Barbour NW (resolved)
Atherix,Atherix,2,Barbour NW (resolved)
Atractides,Atractides,8,SAFIT (resolved)
Aturus,Aturus,5,SAFIT (resolved)
Baetidae,Baetidae,4,Barbour NW (resolved)
Baetis,Baetis,5,Barbour NW (resolved)
Brachycentrus,Brachycentrus,1,Barbour NW (resolved)
Brillia,Brillia,5,Barbour NW (resolved)
Brychius,Brychius,5,SAFIT (resolved)
Capniidae,Capniidae,1,Barbour NW (resolved)
Cardiocladius,Cardiocladius,5,Barbour NW (resolved)
Ceraclea,Ceraclea,5,Barbour NW (resolved)
Ceratopogon,Ceratopogon,6,SAFIT (resolved)
Cheumatopsyche,Cheumatopsyche,5,Barbour NW (resolved)
Chironomidae,Chironomidae,6,Barbour NW (resolved)
Chloroperlidae,Chloroperlidae,1,Barbour NW (resolved)
Claassenia sabulosa,Claassenia sabulosa,3,Barbour NW (resolved)
Cleptelmis,Cleptelmis,4,Barbour NW (resolved)
Diamesa,Diamesa,5,Barbour NW (resolved)
Dicosmoecus,Dicosmoecus,1,Barbour NW (resolved)
Dicranota,Dicranota,3,Barbour NW (resolved)
Diphetor hageni,Diphetor hageni,5,Barbour NW (resolved)
Doroneuria,Doroneuria,1,Barbour NW (resolved)
Drunella grandis group,Drunella grandis,0,SAFIT (resolved)
Elmidae,Elmidae,4,Barbour NW (resolved)
Empididae,Empididae,6,Barbour NW (resolved)
Epeorus,Epeorus,0,Barbour NW (resolved)
Ephemerella,Ephemerella,1,Barbour NW (resolved)
Ephemerellidae,Ephemerellidae,1,Barbour NW (resolved)
Ephydridae,Ephydridae,6,Barbour NW (resolved)
Eukiefferiella,Eukiefferiella,8,Barbour NW (resolved)
Glossosoma,Glossosoma,0,Barbour NW (resolved)
Glossosomatidae,Glossosomatidae,0,Barbour NW (resolved)
Gomphidae,Gomphidae,1,Barbour NW (resolved)
Haliplidae,Haliplidae,7,Barbour NW (resolved)
Hemerodromia,Hemerodromia,6,Barbour NW (resolved)
Heptageniidae,Heptageniidae,4,Barbour NW (resolved)
Hesperoperla,Hesperoperla,2,SAFIT (resolved)
Hexatoma,Hexatoma,2,Barbour NW (resolved)
Hydropsyche,Hydropsyche,4,Barbour NW (resolved)
Hydropsychidae,Hydropsychidae,4,Barbour NW (resolved)
Hydroptila,Hydroptila,6,Barbour NW (resolved)
Isogenoides,Isogenoides,2,Barbour NW (resolved)
Isoperla,Isoperla,2,Barbour NW (resolved)
Lebertia,Lebertia,8,Barbour NW (resolved)
Lepidostoma,Lepidostoma,1,Barbour NW (resolved)
Leptophlebiidae,Leptophlebiidae,2,Barbour NW (resolved)
Limnesia,Limnesia,5,SAFIT (resolved)
Lymnaeidae,Lymnaeidae,6,Barbour NW (resolved)
Micrasema,Micrasema,1,Barbour NW (resolved)
Micropsectra,Micropsectra,7,Barbour NW (resolved)
Microtendipes,Microtendipes,6,Barbour NW (resolved)
Nemouridae,Nemouridae,2,Barbour NW (resolved)
Neoplasta,Neoplasta,6,SAFIT (resolved)
Optioservus,Optioservus,4,Barbour NW (resolved)
Oreogeton,Oreogeton,5,Barbour NW (resolved)
Orthocladius complex,Orthocladius,6,SAFIT (resolved)
Ostracoda,Ostracoda,8,Barbour NW (resolved)
Perlidae,Perlidae,1,Barbour NW (resolved)
Perlodidae,Perlodidae,2,Barbour NW (resolved)
Plumiperla,Plumiperla,1,SAFIT (resolved)
Polypedilum,Polypedilum,6,Barbour NW (resolved)
