page,tsn_parent,itis_id,taxonomy,tolerance_se,tolerance_umidw,tolerance_midw,tolerance_nw,tolerance_midatl,ffg_primary,ffg_secondary,habitat_primary,habitat_secondary
277,202423,59490,Nematoda,,,,5,,PA,,,
277,202423,64183,Nematomorpha,,,,,,PA,,,
277,202423,57411,Nemertea,,,,8,,PR,,,
277,,57412,Rhynchocoela,,,,,,,,,
277,57577,57578,"Prostoma graecense",6.6,,,,,PR,,,
277,57577,193496,"Prostoma rubrum",,,,,,,,,
277,202423,53963,Platyhelminthes,,,,,,,,,
277,53963,53964,Turbellaria,,,,4,,PR,,,
277,53965,54468,Tricladida,,,,4,,GC,,,
277,54552,54553,Cura,,,,,,,,,
277,54468,54502,Planariidae,,,,1,,OM,,,
277,54502,54503,Dugesia,,,,4,,OM,,,
277,54503,54504,"Dugesia tigrina",7.5,,,,,PR,,,
277,54502,54510,Polycelis,,,,6,,GC,,,
277,54510,54512,"Polycelis coronata",,,,1,,OM,,,
277,202423,46861,Porifera,,,,,,FC,,,
277,47690,47691,Spongillidae,,,,,,FC,,,
277,47691,47692,Spongilla,,,,,,FC,,,
277,47692,47696,"Spongilla aspinosa",,,,,,FC,,,
277,,155470,Ectoprocta,,,,,,,,,
277,156691,156692,"Plumatella repens",,,,,,,,,
277,174619,174662,Hydrobates,,,,,,,,,
277,202423,48738,Cnidaria,,,,,,,,,
277,50844,50845,Hydra,,,,5,,PR,,,
277,50845,50846,"Hydra americana",,,,,,,,,
277,156753,156754,"Urnatella gracilis",,,,,,,,,
277,69458,79118,Bivalvia,,,,,,FC,,,
277,,79119,Pelecypoda,,,,8,,FC,,,
277,79517,79519,"Brachidontes exustus",,,,,,FC,,,
277,79912,79913,Unionidae,,,,8,,FC,,,
277,79913,79930,Anodonta,,,,8,,FC,,,
277,79930,79946,"Anodonta couperiana",,,,,,FC,,,
277,,,"Anodonta nuttalliana idahoensis",,,,8,,FC,,,
277,79913,79951,Elliptio,,,,,,FC,,,
277,79951,79975,"Elliptio buckleyi",,,,,,FC,,,
